                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7183,                 1.4921,                 1.3386,                0.79137,                0.78994,                 0.8516,                 0.4409,                 1.6566,                0.98461,                 1.3474,               0.070121,              0.0033199,              0.0033199
                      2,                 1.6224,                 1.1306,                 1.2753,                 0.8208,                0.79425,                0.86456,                0.44435,                 1.6639,                0.92573,                 1.3612,               0.040121,              0.0066532,              0.0066532
                      3,                  1.569,                 1.4263,                 1.2486,                0.82067,                0.61796,                0.76476,                0.40322,                 1.6233,                 1.5935,                 1.2966,               0.010121,              0.0099865,              0.0099865
                      4,                 1.5789,                 1.4356,                 1.2486,                0.83513,                0.81229,                 0.8771,                0.45996,                 1.6136,                0.97251,                 1.3511,                   0.01,                   0.01,                   0.01
                      5,                 1.6707,                 1.2068,                 1.3326,                0.83038,                0.82171,                0.88867,                0.46043,                 1.6156,                0.94842,                  1.344,                   0.01,                   0.01,                   0.01
                      6,                 1.5978,                 1.0182,                 1.2439,                0.79646,                0.78755,                0.86759,                0.44603,                 1.6306,                0.89449,                  1.321,                   0.01,                   0.01,                   0.01
                      7,                 1.6346,                0.84998,                 1.2466,                0.82172,                0.80367,                0.87923,                0.46887,                 1.5942,                0.87118,                 1.3067,              0.0099999,              0.0099999,              0.0099999
                      8,                 1.5764,                0.85335,                 1.2254,                0.81655,                 0.8075,                 0.8906,                0.47515,                 1.5976,                0.78685,                 1.2994,              0.0099999,              0.0099999,              0.0099999
                      9,                 1.5361,                0.81601,                 1.2076,                0.85624,                0.84518,                0.91516,                0.49967,                 1.5886,                0.73943,                  1.297,              0.0099999,              0.0099999,              0.0099999
                     10,                 1.5724,                0.77875,                 1.2194,                 0.8624,                0.81899,                0.90433,                 0.4819,                 1.5993,                0.78046,                 1.2989,              0.0099998,              0.0099998,              0.0099998
                     11,                 1.5408,                0.77466,                  1.218,                0.84745,                 0.8265,                0.90258,                0.48249,                 1.5811,                0.76201,                  1.287,              0.0099998,              0.0099998,              0.0099998
                     12,                  1.526,                0.74809,                  1.207,                0.86224,                0.84815,                 0.9106,                0.48967,                 1.5978,                0.71487,                 1.3018,              0.0099997,              0.0099997,              0.0099997
                     13,                 1.5156,                0.75556,                 1.2027,                0.86277,                0.82688,                0.91441,                 0.5033,                 1.5742,                0.72956,                 1.2899,              0.0099997,              0.0099997,              0.0099997
                     14,                 1.5201,                0.72519,                 1.1898,                0.86695,                0.85204,                0.91879,                 0.5018,                 1.5803,                0.72976,                 1.2843,              0.0099996,              0.0099996,              0.0099996
                     15,                 1.4909,                0.71393,                 1.1913,                0.88211,                0.84996,                0.92465,                0.50954,                 1.5704,                0.70057,                 1.2872,              0.0099995,              0.0099995,              0.0099995
                     16,                 1.5058,                0.68193,                  1.196,                0.86294,                0.86193,                0.92101,                0.50712,                 1.5759,                0.69278,                 1.2853,              0.0099995,              0.0099995,              0.0099995
                     17,                 1.5132,                0.69084,                 1.1685,                0.87148,                0.87132,                0.92539,                0.51098,                 1.5555,                0.68526,                 1.2776,              0.0099994,              0.0099994,              0.0099994
                     18,                 1.4707,                0.68843,                 1.1779,                0.85774,                 0.8763,                 0.9223,                0.51141,                 1.5679,                0.69891,                 1.2996,              0.0099993,              0.0099993,              0.0099993
                     19,                  1.483,                0.69981,                  1.176,                0.86702,                0.84195,                 0.9205,                 0.5072,                 1.5636,                0.72586,                 1.2912,              0.0099992,              0.0099992,              0.0099992
                     20,                 1.5015,                0.70255,                 1.2038,                0.86735,                0.85479,                0.92174,                0.51438,                 1.5585,                0.71258,                 1.3035,              0.0099991,              0.0099991,              0.0099991
                     21,                 1.4693,                0.66263,                  1.197,                 0.8784,                 0.8838,                0.93649,                0.52137,                 1.5474,                0.66665,                 1.2869,               0.009999,               0.009999,               0.009999
                     22,                 1.4496,                 0.6708,                 1.1635,                0.87916,                0.86634,                0.92958,                0.52975,                 1.5216,                0.68215,                 1.2796,              0.0099989,              0.0099989,              0.0099989
                     23,                 1.4445,                0.65957,                 1.1673,                0.88071,                0.86141,                0.92676,                0.51958,                 1.5382,                0.67686,                 1.2832,              0.0099988,              0.0099988,              0.0099988
                     24,                  1.458,                0.65457,                  1.177,                0.89061,                0.85897,                0.93153,                0.52477,                 1.5363,                0.64622,                 1.2794,              0.0099987,              0.0099987,              0.0099987
                     25,                 1.4411,                0.63843,                  1.166,                0.89209,                0.85109,                0.93057,                0.53015,                 1.5313,                0.65379,                 1.2926,              0.0099986,              0.0099986,              0.0099986
                     26,                 1.4425,                0.64649,                 1.1665,                0.87035,                0.87759,                0.92922,                0.52029,                 1.5595,                 0.6483,                 1.2952,              0.0099984,              0.0099984,              0.0099984
                     27,                 1.4257,                0.62752,                 1.1467,                0.88275,                0.86257,                0.92789,                0.51997,                 1.5316,                0.65927,                  1.287,              0.0099983,              0.0099983,              0.0099983
                     28,                 1.4283,                0.64481,                 1.1679,                0.88115,                0.87451,                0.93098,                0.52445,                 1.5483,                0.65005,                 1.2896,              0.0099982,              0.0099982,              0.0099982
                     29,                 1.4237,                0.61538,                 1.1569,                0.88422,                 0.8731,                0.93048,                0.52503,                 1.5378,                0.63406,                 1.2917,               0.009998,               0.009998,               0.009998
                     30,                 1.4124,                0.61246,                 1.1468,                0.88094,                0.87156,                0.92938,                0.52456,                 1.5433,                0.63394,                 1.2854,              0.0099979,              0.0099979,              0.0099979
                     31,                 1.3999,                0.60587,                  1.143,                0.87796,                0.86927,                0.92947,                0.52324,                 1.5445,                0.64238,                 1.2792,              0.0099977,              0.0099977,              0.0099977
                     32,                 1.3908,                0.62411,                 1.1327,                0.87358,                0.85149,                0.92452,                 0.5233,                 1.5405,                0.66864,                 1.2983,              0.0099976,              0.0099976,              0.0099976
                     33,                 1.3827,                0.59868,                 1.1385,                0.88884,                0.86786,                0.93226,                0.53232,                 1.5166,                 0.6325,                 1.2848,              0.0099974,              0.0099974,              0.0099974
                     34,                 1.3809,                0.59738,                 1.1424,                0.87992,                0.87582,                0.92846,                0.53066,                 1.5205,                 0.6311,                 1.2683,              0.0099972,              0.0099972,              0.0099972
                     35,                  1.366,                0.58712,                 1.1361,                0.87147,                0.87294,                0.92863,                 0.5272,                 1.5355,                0.64103,                 1.2744,               0.009997,               0.009997,               0.009997
                     36,                 1.3628,                0.58091,                 1.1234,                0.87911,                0.87678,                0.92863,                0.53366,                  1.525,                0.62288,                 1.2686,              0.0099969,              0.0099969,              0.0099969
                     37,                 1.3509,                0.57709,                 1.1202,                0.87268,                 0.8814,                0.93154,                0.52937,                 1.5317,                0.62686,                 1.2836,              0.0099967,              0.0099967,              0.0099967
                     38,                 1.3385,                0.56705,                 1.1255,                 0.8925,                0.86049,                0.92989,                0.53057,                 1.5243,                0.62771,                  1.283,              0.0099965,              0.0099965,              0.0099965
                     39,                 1.3424,                0.57108,                 1.1202,                0.88468,                0.87309,                 0.9294,                0.53554,                 1.5238,                 0.6228,                 1.3001,              0.0099963,              0.0099963,              0.0099963
                     40,                 1.3283,                0.57297,                  1.121,                0.87595,                0.88188,                0.92753,                0.53069,                 1.5223,                0.62122,                 1.2858,              0.0099961,              0.0099961,              0.0099961
                     41,                 1.3174,                0.56728,                 1.0986,                0.88558,                0.87263,                0.93295,                0.53805,                 1.5214,                0.61259,                 1.2819,              0.0099959,              0.0099959,              0.0099959
                     42,                 1.3091,                0.55369,                 1.1133,                0.88425,                0.86704,                0.92994,                0.53703,                 1.5334,                0.62532,                 1.2955,              0.0099957,              0.0099957,              0.0099957
                     43,                 1.3223,                0.55752,                  1.116,                  0.887,                0.86449,                0.92564,                0.53206,                 1.5394,                0.61718,                 1.2927,              0.0099954,              0.0099954,              0.0099954
                     44,                 1.2996,                 0.5645,                 1.1083,                0.87752,                0.87757,                0.92952,                0.53368,                 1.5251,                0.62012,                 1.2843,              0.0099952,              0.0099952,              0.0099952
                     45,                 1.3259,                0.54943,                 1.1098,                0.88674,                0.87135,                0.92746,                0.53175,                 1.5297,                0.60775,                 1.2997,               0.009995,               0.009995,               0.009995
                     46,                 1.3045,                0.55024,                 1.1049,                0.87702,                0.88445,                 0.9288,                0.53546,                  1.522,                0.60316,                 1.2945,              0.0099947,              0.0099947,              0.0099947
                     47,                 1.2837,                0.54024,                  1.099,                0.89018,                0.86911,                0.92896,                0.53391,                 1.5283,                0.61147,                 1.2995,              0.0099945,              0.0099945,              0.0099945
                     48,                 1.2782,                0.53811,                  1.109,                0.88485,                0.86107,                 0.9264,                0.53792,                 1.5215,                0.62398,                 1.3051,              0.0099943,              0.0099943,              0.0099943
                     49,                 1.2534,                0.53061,                 1.0994,                0.87798,                0.88172,                0.92976,                0.53301,                 1.5352,                0.61074,                 1.3114,               0.009994,               0.009994,               0.009994
                     50,                 1.2627,                0.52731,                 1.0849,                0.87945,                0.87997,                0.93196,                0.53625,                 1.5525,                0.60966,                 1.3115,              0.0099937,              0.0099937,              0.0099937
                     51,                 1.2536,                0.52468,                 1.0777,                0.88008,                0.87735,                0.92956,                0.53744,                 1.5306,                0.60641,                 1.3067,              0.0099935,              0.0099935,              0.0099935
                     52,                 1.2489,                0.51964,                 1.0732,                0.88974,                 0.8597,                0.92801,                 0.5272,                   1.54,                 0.6188,                 1.3009,              0.0099932,              0.0099932,              0.0099932
                     53,                 1.2168,                0.51535,                 1.0695,                0.89526,                 0.8589,                0.92493,                0.53589,                 1.5213,                0.61544,                 1.2944,              0.0099929,              0.0099929,              0.0099929
                     54,                 1.2111,                0.50549,                 1.0673,                0.88671,                0.87329,                0.93092,                0.54469,                 1.5107,                0.60204,                 1.2874,              0.0099927,              0.0099927,              0.0099927
                     55,                 1.2251,                0.50847,                 1.0736,                0.88912,                0.87545,                0.93023,                  0.543,                 1.5223,                0.60319,                 1.3087,              0.0099924,              0.0099924,              0.0099924
                     56,                 1.2231,                    nan,                 1.0602,                0.88509,                0.86959,                0.92542,                0.53507,                 1.5504,                0.60977,                 1.3316,              0.0099921,              0.0099921,              0.0099921
                     57,                 1.2104,                0.50657,                 1.0614,                0.88291,                0.87143,                0.92284,                0.53834,                 1.5266,                0.61364,                 1.3058,              0.0099918,              0.0099918,              0.0099918
                     58,                 1.2032,                0.49722,                 1.0666,                0.88398,                 0.8755,                0.92897,                0.54019,                 1.5343,                0.60052,                 1.3177,              0.0099915,              0.0099915,              0.0099915
                     59,                 1.1976,                0.49688,                 1.0583,                0.88595,                0.87215,                0.92803,                0.53819,                 1.5358,                0.59973,                 1.3174,              0.0099912,              0.0099912,              0.0099912
