                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.6227,                 33.638,                 5.9357,                      0,                      0,                      0,                      0,                 6.7698,                 6.4386,                 4.1551,                 0.0784,                 0.0024,                 0.0024
                      1,                 6.6123,                 23.643,                 5.8374,                      0,                      0,                      0,                      0,                 6.7708,                 6.4484,                 4.1529,                 0.0559,                 0.0049,                 0.0049
                      2,                 6.5773,                 49.934,                 6.0254,                      0,                      0,                      0,                      0,                 6.7702,                 6.3889,                 4.1508,                 0.0334,                 0.0074,                 0.0074
                      3,                 6.6171,                 23.195,                 5.8043,                      0,                      0,                      0,                      0,                 6.7689,                 6.3957,                 4.1474,                 0.0109,                 0.0099,                 0.0099
                      4,                 6.5556,                 25.096,                 5.6187,                      0,                      0,                      0,                      0,                 6.7677,                 6.4894,                 4.1491,                   0.01,                   0.01,                   0.01
                      5,                 6.4517,                 15.504,                 5.2082,                      0,                      0,                      0,                      0,                 6.7688,                 6.5229,                 4.1667,                   0.01,                   0.01,                   0.01
                      6,                 6.3313,                 12.517,                 4.8555,                      0,                      0,                      0,                      0,                   6.65,                 7.3337,                 4.1762,              0.0099999,              0.0099999,              0.0099999
                      7,                 6.0418,                 29.798,                 4.3794,                      0,                      0,                      0,                      0,                   6.65,                 7.3337,                 4.1762,              0.0099999,              0.0099999,              0.0099999
                      8,                 6.0014,                 12.917,                 4.2168,                      0,                      0,                      0,                      0,                 5.6864,                 7.9155,                 4.4536,              0.0099999,              0.0099999,              0.0099999
                      9,                 5.8908,                 9.6492,                 4.0102,                0.00769,                0.01872,                0.00408,                0.00088,                 5.2654,                 3.8728,                 4.2499,              0.0099998,              0.0099998,              0.0099998
                     10,                 5.7705,                 7.8141,                 3.7666,                0.03699,                0.05208,                0.01987,                  0.005,                 4.8663,                    inf,                 5.1384,              0.0099998,              0.0099998,              0.0099998
                     11,                 5.4183,                 7.6724,                 3.4897,                0.03699,                0.05208,                0.01987,                  0.005,                 4.8663,                    inf,                 5.1384,              0.0099997,              0.0099997,              0.0099997
                     12,                 5.5555,                 6.1134,                 3.2883,                 0.0068,                0.01989,                0.00347,                0.00082,                 4.7254,                 3.9859,                 3.7693,              0.0099997,              0.0099997,              0.0099997
                     13,                 4.9906,                 4.3038,                 3.0953,                0.03819,                0.07431,                 0.0186,                0.00436,                 4.4496,                  19.16,                 7.3327,              0.0099996,              0.0099996,              0.0099996
                     14,                 4.6675,                 4.8064,                 2.8313,                0.04272,                0.11644,                0.02415,                0.00588,                  4.292,                 23.121,                 3.0221,              0.0099995,              0.0099995,              0.0099995
                     15,                 4.2182,                 2.7769,                 2.6179,                  0.012,                0.03511,                 0.0071,                0.00171,                 4.9865,                 3.1761,                 4.5256,              0.0099995,              0.0099995,              0.0099995
                     16,                 4.2954,                 3.0588,                 2.2222,                  0.012,                0.03511,                 0.0071,                0.00171,                 4.9865,                 3.1761,                 4.5256,              0.0099994,              0.0099994,              0.0099994
                     17,                 3.8227,                 3.4435,                  2.062,                 0.0598,                0.17496,                0.03709,                0.00913,                 3.9897,                    inf,                 2.5389,              0.0099993,              0.0099993,              0.0099993
                     18,                 3.7366,                 3.2904,                  1.996,                0.05051,                0.11878,                0.04439,                0.01205,                 4.0835,                 3.1466,                 2.1306,              0.0099992,              0.0099992,              0.0099992
                     19,                 3.7801,                 2.8118,                 1.9684,                0.19031,                0.20948,                0.10139,                0.02686,                 3.6556,                 1.9371,                 1.9109,              0.0099991,              0.0099991,              0.0099991
                     20,                 3.6958,                 2.1197,                   1.92,                0.19031,                0.20948,                0.10139,                0.02686,                 3.6556,                 1.9371,                 1.9109,               0.009999,               0.009999,               0.009999
                     21,                 3.8428,                 2.7605,                  1.991,                 0.0932,                0.27267,                0.06263,                0.01521,                 3.8195,                 36.801,                 3.5709,              0.0099989,              0.0099989,              0.0099989
                     22,                  3.556,                 2.6633,                 1.8944,                 0.1256,                0.36747,                0.14444,                0.03331,                   3.61,                 2.5103,                 1.7929,              0.0099988,              0.0099988,              0.0099988
                     23,                 3.5643,                 2.3657,                 1.8221,                  0.192,                0.36922,                0.17109,                0.04151,                 3.5779,                  1.823,                 1.7783,              0.0099987,              0.0099987,              0.0099987
                     24,                 3.7143,                 1.9577,                 1.8447,                0.36195,                0.20912,                0.18289,                0.04079,                 4.0002,                 1.5853,                 1.7157,              0.0099986,              0.0099986,              0.0099986
                     25,                 4.1927,                 1.9456,                 1.7655,                0.36195,                0.20912,                0.18289,                0.04079,                 4.0002,                 1.5853,                 1.7157,              0.0099984,              0.0099984,              0.0099984
                     26,                 3.5643,                 1.9509,                 1.5661,                0.16626,                0.41135,                0.12255,                0.03302,                 3.2308,                 2.1881,                 1.5449,              0.0099983,              0.0099983,              0.0099983
                     27,                 3.5627,                 1.8723,                 1.4841,                0.19411,                 0.2323,                0.13747,                0.02662,                 3.7223,                 1.8104,                 1.5415,              0.0099982,              0.0099982,              0.0099982
                     28,                 3.8002,                 2.0134,                 1.5648,                 0.1164,                0.34055,                0.08466,                0.01785,                 3.6415,                 1.7985,                    1.5,               0.009998,               0.009998,               0.009998
                     29,                 3.9657,                   1.91,                 1.6446,                 0.1164,                0.34055,                0.08466,                0.01785,                 3.6415,                 1.7985,                    1.5,              0.0099979,              0.0099979,              0.0099979
                     30,                  3.329,                 1.7182,                 1.4838,                0.26379,                0.34757,                0.20765,                0.05112,                 3.1495,                 1.8026,                 1.5563,              0.0099977,              0.0099977,              0.0099977
                     31,                  3.636,                 1.8021,                  1.438,                0.23696,                0.34114,                0.18708,                0.04269,                 3.3706,                 1.7067,                 1.4246,              0.0099976,              0.0099976,              0.0099976
                     32,                 3.4744,                 1.8208,                 1.4973,                0.33717,                0.41837,                0.30073,                0.07533,                 3.0106,                 1.6241,                 1.3907,              0.0099974,              0.0099974,              0.0099974
                     33,                 3.2736,                 1.7316,                 1.4358,                0.24782,                0.29198,                0.16402,                0.03374,                 3.5326,                 2.7279,                 1.5167,              0.0099972,              0.0099972,              0.0099972
                     34,                 3.3373,                 1.8526,                 1.4264,                0.24782,                0.29198,                0.16402,                0.03374,                 3.5326,                 2.7279,                 1.5167,               0.009997,               0.009997,               0.009997
                     35,                   3.27,                 1.7168,                 1.4167,                 0.3951,                0.45758,                0.33041,                0.07741,                 2.9038,                 1.5164,                 1.3274,              0.0099969,              0.0099969,              0.0099969
                     36,                 3.3553,                 1.6772,                 1.3754,                0.18849,                0.22177,                0.11528,                0.02147,                   3.44,                 1.9248,                 1.4461,              0.0099967,              0.0099967,              0.0099967
                     37,                 3.1992,                  1.696,                 1.4081,                0.51572,                0.49327,                0.43965,                0.11007,                 3.0667,                 1.4178,                 1.3382,              0.0099965,              0.0099965,              0.0099965
                     38,                 3.1274,                 1.5321,                 1.3881,                0.38104,                0.41662,                0.32474,                0.07096,                 3.0852,                 1.5387,                  1.396,              0.0099963,              0.0099963,              0.0099963
                     39,                 3.4502,                 1.6895,                 1.4652,                0.38104,                0.41662,                0.32474,                0.07096,                 3.0852,                 1.5387,                  1.396,              0.0099961,              0.0099961,              0.0099961
                     40,                 3.3306,                 1.5594,                 1.4215,                0.37323,                0.34523,                 0.2799,                0.05667,                 3.2507,                 1.6242,                 1.4002,              0.0099959,              0.0099959,              0.0099959
                     41,                 3.2027,                 1.5076,                 1.3767,                 0.6089,                0.55647,                0.58594,                0.17184,                 2.6337,                 1.2922,                 1.2199,              0.0099957,              0.0099957,              0.0099957
                     42,                 2.9466,                 1.4786,                 1.3389,                0.39831,                0.40208,                0.30907,                0.06599,                 2.9825,                 1.5701,                 1.3021,              0.0099954,              0.0099954,              0.0099954
                     43,                 3.0166,                 1.5864,                 1.3382,                0.39831,                0.40208,                0.30907,                0.06599,                 2.9825,                 1.5701,                 1.3021,              0.0099952,              0.0099952,              0.0099952
                     44,                 2.9254,                   1.52,                 1.3423,                0.59044,                 0.5395,                  0.549,                0.15586,                 2.7261,                 1.3269,                 1.2414,               0.009995,               0.009995,               0.009995
                     45,                 3.0411,                 1.4826,                  1.332,                0.48743,                0.47279,                0.41319,                0.09601,                 2.9507,                 1.3816,                 1.2826,              0.0099947,              0.0099947,              0.0099947
                     46,                 2.9404,                 1.4477,                 1.3117,                0.62644,                0.59169,                0.60528,                0.16807,                 2.6365,                 1.3034,                 1.2134,              0.0099945,              0.0099945,              0.0099945
                     47,                 2.8869,                 1.4889,                 1.2714,                0.56086,                0.57929,                0.56319,                0.15003,                 2.6226,                 1.4466,                 1.2049,              0.0099943,              0.0099943,              0.0099943
                     48,                 2.8326,                 1.5617,                 1.2727,                0.56086,                0.57929,                0.56319,                0.15003,                 2.6226,                 1.4466,                 1.2049,               0.009994,               0.009994,               0.009994
                     49,                 2.8046,                 1.6246,                 1.2812,                0.59631,                 0.5553,                0.55811,                0.14491,                 2.6324,                 1.3639,                 1.2108,              0.0099937,              0.0099937,              0.0099937
                     50,                 2.7275,                 1.5671,                 1.2049,                0.55614,                0.63429,                0.62694,                0.19835,                 2.4675,                 1.5598,                 1.1379,              0.0099935,              0.0099935,              0.0099935
                     51,                 2.7441,                 1.5954,                 1.1944,                0.53869,                  0.512,                 0.4578,                0.10877,                  2.725,                 1.4093,                  1.223,              0.0099932,              0.0099932,              0.0099932
                     52,                 2.7688,                 1.4268,                 1.2167,                0.53869,                  0.512,                 0.4578,                0.10877,                  2.725,                 1.4093,                  1.223,              0.0099929,              0.0099929,              0.0099929
                     53,                 2.7016,                 1.4601,                 1.2254,                 0.6902,                0.63615,                0.68045,                0.24277,                 2.3449,                  1.237,                 1.1265,              0.0099927,              0.0099927,              0.0099927
                     54,                 2.6573,                  1.466,                 1.2196,                0.57842,                0.58982,                0.54762,                0.14777,                 2.6439,                 1.4114,                 1.2096,              0.0099924,              0.0099924,              0.0099924
